sgc_amount,payment_made,pay_period_from,pay_period_to,employee_code
763.66,2017-11-01T00:00:00,2017-09-25T00:00:00,2017-10-22T00:00:00,1155
1110.76,2017-08-09T00:00:00,2017-06-19T00:00:00,2017-07-30T00:00:00,1155
763.66,2017-10-04T00:00:00,2017-08-28T00:00:00,2017-09-24T00:00:00,1155
763.66,2017-11-30T00:00:00,2017-10-23T00:00:00,2017-11-19T00:00:00,1155
763.66,2017-09-06T00:00:00,2017-07-31T00:00:00,2017-08-27T00:00:00,1155
1145.49,2018-01-10T00:00:00,2017-11-20T00:00:00,2017-12-31T00:00:00,1155
782.66,2017-10-04T00:00:00,2017-08-28T00:00:00,2017-09-24T00:00:00,50015418
1166.3,2017-08-09T00:00:00,2017-06-19T00:00:00,2017-07-30T00:00:00,50015418
782.66,2017-09-06T00:00:00,2017-07-31T00:00:00,2017-08-27T00:00:00,50015418
782.66,2017-11-01T00:00:00,2017-09-25T00:00:00,2017-10-22T00:00:00,50015418
1056.35,2017-11-30T00:00:00,2017-10-23T00:00:00,2017-11-19T00:00:00,50015418
1173.99,2018-01-10T00:00:00,2017-11-20T00:00:00,2017-12-31T00:00:00,50015418
782.66,2018-02-08T00:00:00,2018-01-01T00:00:00,2018-01-28T00:00:00,50015418
782.66,2018-03-08T00:00:00,2018-01-29T00:00:00,2018-02-25T00:00:00,50015418
782.66,2018-04-09T00:00:00,2018-02-26T00:00:00,2018-03-25T00:00:00,50015418
782.66,2018-05-03T00:00:00,2018-03-26T00:00:00,2018-04-22T00:00:00,50015418
948.0,2018-06-05T00:00:00,2018-04-23T00:00:00,2018-05-20T00:00:00,50015418
782.66,2018-06-28T00:00:00,2018-05-21T00:00:00,2018-06-17T00:00:00,50015418
1193.55,2018-08-09T00:00:00,2018-06-18T00:00:00,2018-07-29T00:00:00,50015418
997.88,2018-09-04T00:00:00,2018-07-30T00:00:00,2018-08-26T00:00:00,50015418
802.22,2018-10-10T00:00:00,2018-08-27T00:00:00,2018-09-23T00:00:00,50015418
802.22,2018-11-01T00:00:00,2018-09-24T00:00:00,2018-10-21T00:00:00,50015418
802.22,2018-11-28T00:00:00,2018-10-22T00:00:00,2018-11-18T00:00:00,50015418
1203.33,2019-01-10T00:00:00,2018-11-19T00:00:00,2018-12-30T00:00:00,50015418
802.22,2019-02-08T00:00:00,2018-12-31T00:00:00,2019-01-27T00:00:00,50015418
802.22,2019-03-06T00:00:00,2019-01-28T00:00:00,2019-02-24T00:00:00,50015418
802.22,2019-04-03T00:00:00,2019-02-25T00:00:00,2019-03-24T00:00:00,50015418
844.7,2019-05-07T00:00:00,2019-03-25T00:00:00,2019-04-21T00:00:00,50015418
1676.01,2019-06-05T00:00:00,2019-04-22T00:00:00,2019-05-19T00:00:00,50015418
802.22,2019-06-28T00:00:00,2019-05-20T00:00:00,2019-06-16T00:00:00,50015418
1227.39,2019-08-08T00:00:00,2019-06-17T00:00:00,2019-07-28T00:00:00,50015418
833.89,2019-09-05T00:00:00,2019-07-29T00:00:00,2019-08-25T00:00:00,50015418
831.99,2019-10-03T00:00:00,2019-08-26T00:00:00,2019-09-22T00:00:00,50015418
826.28,2019-10-31T00:00:00,2019-09-23T00:00:00,2019-10-20T00:00:00,50015418
826.28,2019-11-27T00:00:00,2019-10-21T00:00:00,2019-11-17T00:00:00,50015418
1049.43,2020-01-22T00:00:00,2019-11-18T00:00:00,2019-12-29T00:00:00,50015418
312.86,2020-06-15T00:00:00,2020-04-20T00:00:00,2020-05-31T00:00:00,50015418
393.63,2019-07-05T00:00:00,2019-06-16T00:00:00,2019-06-28T00:00:00,2355
1089.19,2017-08-09T00:00:00,2017-06-19T00:00:00,2017-07-30T00:00:00,2355
787.26,2018-11-01T00:00:00,2018-09-24T00:00:00,2018-10-21T00:00:00,2355
1244.09,2018-01-10T00:00:00,2017-11-20T00:00:00,2017-12-31T00:00:00,2355
815.75,2019-06-28T00:00:00,2019-05-20T00:00:00,2019-06-16T00:00:00,2355
1007.4,2018-02-08T00:00:00,2018-01-01T00:00:00,2018-01-28T00:00:00,2355
787.26,2018-11-28T00:00:00,2018-10-22T00:00:00,2018-11-18T00:00:00,2355
943.95,2018-03-08T00:00:00,2018-01-29T00:00:00,2018-02-25T00:00:00,2355
818.34,2019-05-07T00:00:00,2019-03-25T00:00:00,2019-04-21T00:00:00,2355
1318.15,2018-04-09T00:00:00,2018-02-26T00:00:00,2018-03-25T00:00:00,2355
1180.89,2019-01-10T00:00:00,2018-11-19T00:00:00,2018-12-30T00:00:00,2355
787.26,2018-05-03T00:00:00,2018-03-26T00:00:00,2018-04-22T00:00:00,2355
787.26,2018-06-05T00:00:00,2018-04-23T00:00:00,2018-05-20T00:00:00,2355
787.26,2019-02-08T00:00:00,2018-12-31T00:00:00,2019-01-27T00:00:00,2355
787.26,2018-06-28T00:00:00,2018-05-21T00:00:00,2018-06-17T00:00:00,2355
787.26,2019-06-05T00:00:00,2019-04-22T00:00:00,2019-05-19T00:00:00,2355
1180.89,2018-08-09T00:00:00,2018-06-18T00:00:00,2018-07-29T00:00:00,2355
828.71,2019-03-06T00:00:00,2019-01-28T00:00:00,2019-02-24T00:00:00,2355
787.26,2018-09-04T00:00:00,2018-07-30T00:00:00,2018-08-26T00:00:00,2355
393.63,2019-08-08T00:00:00,2019-06-17T00:00:00,2019-07-28T00:00:00,2355
751.17,2017-10-04T00:00:00,2017-08-28T00:00:00,2017-09-24T00:00:00,2355
751.16,2017-09-06T00:00:00,2017-07-31T00:00:00,2017-08-27T00:00:00,2355
920.27,2018-10-10T00:00:00,2018-08-27T00:00:00,2018-09-23T00:00:00,2355
770.16,2017-11-01T00:00:00,2017-09-25T00:00:00,2017-10-22T00:00:00,2355
828.7,2019-04-03T00:00:00,2019-02-25T00:00:00,2019-03-24T00:00:00,2355
751.16,2017-11-30T00:00:00,2017-10-23T00:00:00,2017-11-19T00:00:00,2355
699.95,2018-06-05T00:00:00,2018-04-23T00:00:00,2018-05-20T00:00:00,1963
658.84,2018-03-08T00:00:00,2018-01-29T00:00:00,2018-02-25T00:00:00,1963
