payslip_id,end,employee_code,code,amount
10d3e5e3-2556-4f56-8053-6b1f39975ea1,2018-01-14,1155,13 - Public Hol,401.92
10d3e5e3-2556-4f56-8053-6b1f39975ea1,2018-01-14,1155,T997 - Term G - Long Service Lve Post 17/8/93,17855.96
10d3e5e3-2556-4f56-8053-6b1f39975ea1,2018-01-14,1155,T998 - Term G - Lve Loading Post 17/8/93,371.38
10d3e5e3-2556-4f56-8053-6b1f39975ea1,2018-01-14,1155,T999 - Term G - Annual Lve Post 17/8/93,2122.18
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,1 - Normal,1733.8
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,10 - Annual Lve,1387.04
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,13 - Public Hol,346.76
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,A010 - Lve Ldg 17.5%,242.73
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,P001 - Co. Super 9.5%,329.42
ad70b6e8-1962-4b69-82c5-ce0d80fa814d,2018-01-14,2355,1 - Normal,3707.36
ad70b6e8-1962-4b69-82c5-ce0d80fa814d,2018-01-14,2355,2 - O/T 1.5,1320.4
ad70b6e8-1962-4b69-82c5-ce0d80fa814d,2018-01-14,2355,13 - Public Hol,436.16
ad70b6e8-1962-4b69-82c5-ce0d80fa814d,2018-01-14,2355,A012 - Pager/On call,299.88
ad70b6e8-1962-4b69-82c5-ce0d80fa814d,2018-01-14,2355,P001 - Co. Super 9.5%,393.64
1f725d94-9e6b-474b-8b31-43558ecc3589,2018-01-14,50015418,1 - Normal,3252.02
1f725d94-9e6b-474b-8b31-43558ecc3589,2018-01-14,50015418,10 - Annual Lve,867.21
1f725d94-9e6b-474b-8b31-43558ecc3589,2018-01-14,50015418,A010 - Lve Ldg 17.5%,151.76
1f725d94-9e6b-474b-8b31-43558ecc3589,2018-01-14,50015418,P001 - Co. Super 9.5%,391.33
1c0b5d4a-9ee6-40e6-8377-16be6b4e6cda,2018-05-20,1963,1 - Normal,3467.59
1c0b5d4a-9ee6-40e6-8377-16be6b4e6cda,2018-05-20,1963,P001 - Co. Super 9.5%,329.42
93932936-61ef-4867-bfe8-db54fed12076,2018-05-20,2355,1 - Normal,4143.52
93932936-61ef-4867-bfe8-db54fed12076,2018-05-20,2355,2 - O/T 1.5,1962.72
93932936-61ef-4867-bfe8-db54fed12076,2018-05-20,2355,A012 - Pager/On call,149.94
93932936-61ef-4867-bfe8-db54fed12076,2018-05-20,2355,A042 - L - TRAVEL ALLOWANCE,60.0
93932936-61ef-4867-bfe8-db54fed12076,2018-05-20,2355,P001 - Co. Super 9.5%,393.63
76cb04bd-e3d9-4a06-97dd-2dba91f12076,2018-05-20,50015418,1 - Normal,4119.23
76cb04bd-e3d9-4a06-97dd-2dba91f12076,2018-05-20,50015418,P001 - Co. Super 9.5%,391.33
f18af29c-da5f-4aca-968a-72142c81e64c,2018-08-26,2355,1 - Normal,4143.52
f18af29c-da5f-4aca-968a-72142c81e64c,2018-08-26,2355,2 - O/T 1.5,4715.98
f18af29c-da5f-4aca-968a-72142c81e64c,2018-08-26,2355,A042 - L - TRAVEL ALLOWANCE,180.0
